Country,N_news,ISA,Education_Index_2019,Human_Development_Index_.HDI._2019,Internet_users_2018,PISA_Reading_2018,Pisa_Science_2018,Number_newspapers_Mean1996.2005,Press_Freedom_Index,alpha.3ISO,N_Spiders,N_Spiders_WSC,N_Deadly_WSC,N_Deadly,Reference_N_Spiders,Reference_N_Deadly
Bosnia,5,0,0.711,0.78,70.1,403,398,6.2,149.01,BIH,179,1258,2,1,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Botswana,0,1,0.676,0.735,47,NA,NA,1.13,164.9,BWA,395,406,5,5,"Eagle, V.A. 1985. Survey of the spider fauna of Botswana. Botswana Notes and Records 17: 131-139. AND Jocqu�, R., Alderwireldt, M. & Dippenaar-Schoeman, A.S. 2013. Biodiversity: an African perspective. In: Penney, D. Spider research in the 21st Century - trends and perspectives. Siri Scientific Press. Manchester, UK; World Spider Catalog (2020). 3.) World Spider Catalog. Version 21.5. Natural History Museum Bern, online at http://World Spider Catalog.nmbe.ch, accessed on 16/12/2020. doi: 10.24436/2",World Spider Catalog
Brazil,167,39,0.694,0.765,67.5,413,404,461.89,553.26,BRA,4141,4141,38,37,World Spider Catalog,World Spider Catalog minus mactans
Canada,109,18,0.894,0.929,91,520,518,105.44,4020.51,CAN,1477,1145,5,2,"Bennett R, Blagoev G, Copley C (2019) Araneae of Canada. In: Langor DW, Sheffield CS (Eds) The Biota of Canada � A Biodiversity Assessment. Part 1: The Terrestrial Arthropods. ZooKeys 819: 41-56.","Bennett R, Blagoev G, Copley C (2019) Araneae of Canada. In: Langor DW, Sheffield CS (Eds) The Biota of Canada � A Biodiversity Assessment. Part 1: The Terrestrial Arthropods. ZooKeys 819: 41-56."
Chile,17,2,0.81,0.851,82.3,452,444,52.43,351.4,CHL,899,899,17,16,World Spider Catalog,World Spider Catalog minus mactans
China,70,8,0.657,0.761,54.3,555,590,796.33,784.92,CHN,5084,5191,7,6,"Li S (2020) Spider taxonomy for an advanced China. Zoological Systematics, 45(2): 73�77. doi: 10.11865/zs.202011",World Spider Catalog minus mactans
Colombia,9,7,0.682,0.767,62.3,412,413,25,136.82,COL,1396,1396,12,11,World Spider Catalog,World Spider Catalog minus mactans
Croatia,37,2,0.805,0.851,72.7,479,472,12,1481.68,HRV,821,1327,2,2,"Unpublished checklist (Katu_i_, L., Ozimec, R., Pavlek, M., Majer, M., Drak_i_, M., _uku_i_, A., Kolund_i_, E.)","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Czech Republic,184,8,0.89,0.9,80.7,490,497,76.78,2167.27,CZE,902,1118,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Denmark,12,6,0.92,0.94,97.6,501,493,34.67,5434.72,DNK,580,1000,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Ecuador,2,4,0.702,0.759,57.3,NA,NA,33.67,87.92,ECU,1151,1151,13,12,World Spider Catalog,World Spider Catalog minus mactans
Egypt,9,1,0.618,0.707,46.9,NA,NA,15.5,531.94,EGY,379,666,7,4,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Estonia,1,0,0.882,0.892,89.4,523,530,15,2677.25,NA,NA,NA,NA,NA,NA,NA
Finland,76,6,0.927,0.938,88.9,520,522,54.67,7177.49,FIN,657,1030,1,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
France,319,16,0.817,0.901,82,493,493,97,3372.84,FRA,1607,1801,2,2,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Germany,148,55,0.943,0.947,89.7,498,503,367.89,3551.74,DEU,1012,1159,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Greece,229,1,0.849,0.888,73,457,452,156,1849.83,GRC,1183,1710,2,2,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Iceland,0,0,0.926,0.949,99,474,475,3.44,6648.62,ISL,84,991,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
India,47,22,0.555,0.645,34.5,NA,NA,2196,134.02,IND,1875,1922,6,5,"Caleb, J.T.D. & Sankaran, P.M. (2021). Araneae of India. Version 2021, online at http://www.indianspiders.in, accessed on 1 Sept 2021","Caleb, J.T.D. & Sankaran, P.M. (2021). Araneae of India. Version 2021, online at http://www.indianspiders.in, accessed on 1 Sept 2021"
Indonesia,75,2,0.65,0.718,39.8,371,396,645.6,167.13,IDN,2526,2461,2,2,"Gutierrez, R.D. (2020). Checklist of Spiders (Arachnida: Araneae) of Indonesia and New Guinea.","Gutierrez, R.D. (2020). Checklist of Spiders (Arachnida: Araneae) of Indonesia and New Guinea."
Iran,14,11,0.756,0.783,70,NA,NA,112.71,720.54,IRN,825,920,11,7,"Zamani, A., Mirshamsi, O., Marusik, Y. M. & Moradmand, M. (2021). The Checklist of the Spiders of Iran. Version 2021, Online at http://www.spiders.ir, accessed 31 Aug 2021","Zamani, A., Mirshamsi, O., Marusik, Y. M. & Moradmand, M. (2021). The Checklist of the Spiders of Iran. Version 2021, Online at http://www.spiders.ir, accessed 31 Aug 2021"
Iraq,2,1,0.557,0.674,49.4,NA,NA,4,343.89,IRQ,54,174,5,2,Fomichev et al. (2018) New data on spiders (Arachnida: Araneae) of Iraq. Zoology in the Middle East. 64(4):329�339. http://dx.doi.org/10.1080/09397140.2018.1484018,Fomichev et al. (2018) New data on spiders (Arachnida: Araneae) of Iraq. Zoology in the Middle East. 64(4):329�339. http://dx.doi.org/10.1080/09397140.2018.1484018
Israel,61,10,0.883,0.919,81.6,470,462,34,7775.83,ISR,758,686,7,7,"Zonstein & Marusik, 2013 (Checklist of the spiders (Araneae) of Israel - 631), additions are from World Spider Catalog and from HUJ catalog","Zonstein & Marusik, 2013 (Checklist of the spiders (Araneae) of Israel "
Italy,454,15,0.793,0.892,74.4,476,468,91.13,1468.66,ITA,1688,1806,2,2,"Pantini P., Isaia M. (2019). Araneae.it: the online Catalog of Italian spiders with addenda on other Arachnid Orders occurring in Italy (Arachnida: Araneae, Opiliones, Palpigradi, Pseudoscorpionida, Scorpiones, Solifugae). Fragmenta Entomologica, 51(2): 127-152. Online at www.araneae.it, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Ivory Coast,1,0,0.453,0.538,46.8,NA,NA,16.71,69.98,CIV,331,563,5,5,"Kevin et al. (2021) State of Knowledge on Spiders (Arachnids, Araneae) In Co_te d'Ivoire (West Africa). IAR J Agri Res Life Sci, 2(2): 9-16. DOI : 10.47310/iarjals.2021.v02i02.002",World Spider Catalog
Jordan,5,0,0.667,0.729,66.8,419,429,5.33,1966.97,JOR,56,146,4,3,"Shakhatreh MR, Amr ZS, Abu Baker MR (2021) Spiders of Jordan: A preliminary Study. Turkish Journal of Bioscience and Collections, 5(1), 1-11. https://doi.org/10.26650/tjbc.2021822162",World Spider Catalog minus mactans
Kazakhstan,44,0,0.83,0.825,78.9,387,397,3,460.74,NA,NA,NA,NA,NA,NA,NA
Kenya,8,1,0.534,0.601,17.8,NA,NA,4.44,143.63,KEN,805,1011,6,6,"Kioko, G. M., Marusik, Y. M., Li, S. Q., Kioko, E. N. & Ji, L. Q. (2021). Checklist of the spiders (Araneae) of Kenya. African Invertebrates 62(1): 49-229. doi:10.3897/AfrInvertebr.62.58776","Kioko, G. M., Marusik, Y. M., Li, S. Q., Kioko, E. N. & Ji, L. Q. (2021). Checklist of the spiders (Araneae) of Kenya. African Invertebrates 62(1): 49-229. doi:10.3897/AfrInvertebr.62.58776"
Kyrgyzstan,11,0,0.73,0.697,38,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,2,0,0.883,0.866,83.6,479,487,24.44,1586.78,NA,NA,NA,NA,NA,NA,NA
Lebanon,4,0,0.604,0.744,78.2,353,384,13.75,NA,LBN,301,301,5,4,World Spider Catalog,World Spider Catalog minus mactans
Madagascar,2,0,0.486,0.528,9.8,NA,NA,5.67,41.18,MDG,640,1275,6,2,"Nicolas Henon, Inventaire des araign�es de la for�t d'Ambodiriana et de ses alentours - Madagascar 2014 ADEFA 787.","Nicolas Henon, Inventaire des araign�es de la for�t d'Ambodiriana et de ses alentours - Madagascar 2014 ADEFA 787."
Malaysia,21,3,0.726,0.81,81.2,415,438,34.25,859.65,NA,NA,NA,NA,NA,NA,NA
Morocco,1,0,0.569,0.686,64.8,359,377,22.56,731.46,MAR,440,693,7,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Mexico,351,18,0.703,0.779,65.8,420,419,309.4,291.11,MEX,2662,2662,43,43,World Spider Catalog,World Spider Catalog
Moldova,1,0,0.711,0.75,76.1,424,428,5.4,657.09,NA,NA,NA,NA,NA,NA,NA
Montenegro,1,0,0.803,0.829,71.5,421,415,NA,693.38,MNE,671,1258,2,1,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Namibia,2,0,0.584,0.646,51,NA,NA,3.5,NA,NAM,610,641,12,12,"Griffin, E & Dippenaar-Schoeman, A.S., (1991). A checkIist of, and references to, the Namibian spider fauna + World Spider Catalogue, 2021 
(Arachnids, Araneae).",World Spider Catalog
New Zealand,130,13,0.926,0.931,90.8,506,508,25.78,3136.94,NZL,1992,1162,2,2,"Paquin P, Vink CJ & Dup�rr� N. 2010. Spiders of New Zealand: annotated family key & species list. Lincoln, N.Z.: Manaaki Whenua Press.",World Spider Catalog
Nigeria,13,1,0.499,0.539,42,NA,NA,37.25,38.58,NGA,482,482,4,4,World Spider Catalog,World Spider Catalog
Norway,11,2,0.93,0.957,96.5,499,490,79.11,4967.47,NOR,636,1011,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Palestine,6,0,0.678,0.708,64.4,NA,NA,3,239.69,PSE,246,246,5,4,World Spider Catalog,World Spider Catalog minus mactans
Panama,1,0,0.7,0.815,57.9,377,365,7.5,103.21,PAN,1202,1202,4,4,World Spider Catalog,World Spider Catalog
Paraguay,1,1,0.638,0.728,65,NA,NA,5,88.66,PRY,482,482,9,8,World Spider Catalog,World Spider Catalog minus mactans
Peru,17,2,0.74,0.777,52.5,401,404,58,NA,PER,1331,1331,31,30,World Spider Catalog,World Spider Catalog minus mactans
Philippines,20,1,0.678,0.718,60.1,340,357,65,97.54,PHL,651,651,2,1,World Spider Catalog,World Spider Catalog minus mactans
Poland,164,10,0.869,0.88,77.5,512,511,47.89,1584.44,POL,847,1105,1,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Portugal,31,0,0.768,0.864,74.7,492,492,27.78,2565.17,PRT,850,1410,1,2,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Puerto Rico,2,0,NA,NA,NA,NA,NA,NA,NA,PRI,292,292,2,2,World Spider Catalog,World Spider Catalog
Qatar,3,0,0.659,0.848,99.7,407,419,5,597.06,QAT,90,90,3,2,World Spider Catalog,World Spider Catalog minus mactans
Russia,490,13,0.823,0.824,80.9,479,478,242.88,3294.82,NA,NA,NA,NA,NA,NA,NA
Saudi Arabia,6,0,0.789,0.854,93.3,399,386,11.2,NA,SAU,183,183,5,4,World Spider Catalog,World Spider Catalog minus mactans
Serbia,35,2,0.783,0.806,73.4,439,440,NA,1235.02,SRB,763,1146,1,1,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Singapore,76,10,0.844,0.938,88.2,549,551,9.44,4993.3,SGP,310,250,2,0,"Song, D.X.,Zhang, J.X.,Li, D. (2002-12-31). A checklist of spiders from Singapore (Arachnida: Araneae). Raffles Bulletin of Zoology 50 (2) : 359-388. ScholarBank@NUS Repository.","Song, D.X.,Zhang, J.X.,Li, D. (2002-12-31). A checklist of spiders from Singapore (Arachnida: Araneae). Raffles Bulletin of Zoology 50 (2) : 359-388. ScholarBank@NUS Repository."
Slovenia,23,5,0.91,0.917,79.8,495,507,5.44,2937.21,SVN,755,1259,2,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
South Africa,64,9,0.724,0.709,56.2,NA,NA,17.33,353.14,ZAF,2253,2114,17,17,"FOORD, S.H., DIPPENAAR-SCHOEMAN, A.S., HADDAD, C.R., LYLE, R., LOTZ, L.N., SETHUSA, T. & RAIMONDO, D. 2020. The South African National Red List of spiders: patterns, threats, and conservation. Journal of Arachnology 48: 110�118.",World Spider Catalog
South Korea,38,2,0.865,0.916,95.9,514,519,123.67,4047.09,KOR,893,957,3,2,National species list of Korea (2019) National Institute of Biological Resources,World Spider Catalog minus mactans
Spain,257,18,0.831,0.904,86.1,NA,483,133.33,2276.62,ESP,1379,2129,10,3,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Sweden,22,5,0.918,0.945,92.1,506,499,93.22,5434.78,SWE,736,1042,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Switzerland,6,15,0.9,0.955,89.7,484,495,92.22,3600.27,CHE,1008,1182,0,0,"Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021","Nentwig W, Blick T, Bosmans R, Gloor D, H�nggi A, Kropf C (2021) Spiders of Europe. Online at https://araneae.nmbe.ch/biodiversity/countrylist, accessed on 31 Aug 2021"
Syria,2,0,0.416,0.567,34.3,NA,NA,4.8,NA,SYR,325,325,5,4,World Spider Catalog,World Spider Catalog minus mactans
Taiwan,54,7,NA,NA,NA,NA,NA,NA,NA,TWN,428,428,1,0,World Spider Catalog,World Spider Catalog minus mactans
Tanzania,13,0,0.429,0.529,25,NA,NA,10.33,26.77,TZA,1064,1064,6,6,World Spider Catalog,World Spider Catalog
Thailand,38,5,0.682,0.777,56.8,393,426,32,338.23,THA,791,791,4,3,World Spider Catalog,World Spider Catalog minus mactans
Turkey,129,10,0.731,0.82,71,466,468,760,636.93,TUR,1129,1712,6,5,"Dan�_man, T., Kunt, K.B. and �zk�t�k, R.S. 2021. The Checklist of the Spiders of Turkey. Version 2019, Online at http://www.spidersofturkey.info, accessed on 31 Aug 2021","Dan�_man, T., Kunt, K.B. and �zk�t�k, R.S. 2021. The Checklist of the Spiders of Turkey. Version 2019, Online at http://www.spidersofturkey.info, accessed on 31 Aug 2021"
UK,1097,23,0.928,0.932,94.9,504,505,104.56,3606.26,GBR,676,989,0,0,"Lavery A 2019. A revised checklist of the spiders of Great Britain and Ireland. Arachnology, 18(3):196-212. https://doi.org/10.13156/arac.2019.18.3.196","Lavery A 2019. A revised checklist of the spiders of Great Britain and Ireland. Arachnology, 18(3):196-212. https://doi.org/10.13156/arac.2019.18.3.196"
Ukraine,143,3,0.799,0.779,58.9,466,469,60.22,1304.49,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,28,0,0.802,0.89,98.5,432,434,8.33,NA,ARE,151,151,3,2,World Spider Catalog,World Spider Catalog minus mactans
Uruguay,6,10,0.765,0.817,68.3,427,426,36,435.71,URY,232,232,5,4,World Spider Catalog,World Spider Catalog minus mactans
USA,616,198,0.9,0.926,87.3,505,502,1492.11,3682.56,USA,4087,4087,18,18,World Spider Catalog,World Spider Catalog
Venezuela,1,0,0.7,0.711,72,NA,NA,89,134.94,VEN,1063,1063,12,11,World Spider Catalog,World Spider Catalog minus mactans
